day_of_year,date
1,1-Jan
2,2-Jan
3,3-Jan
4,4-Jan
5,5-Jan
6,6-Jan
7,7-Jan
8,8-Jan
9,9-Jan
10,10-Jan
11,11-Jan
12,12-Jan
13,13-Jan
14,14-Jan
15,15-Jan
16,16-Jan
17,17-Jan
18,18-Jan
19,19-Jan
20,20-Jan
21,21-Jan
22,22-Jan
23,23-Jan
24,24-Jan
25,25-Jan
26,26-Jan
27,27-Jan
28,28-Jan
29,29-Jan
30,30-Jan
31,31-Jan
32,1-Feb
33,2-Feb
34,3-Feb
35,4-Feb
36,5-Feb
37,6-Feb
38,7-Feb
39,8-Feb
40,9-Feb
41,10-Feb
42,11-Feb
43,12-Feb
44,13-Feb
45,14-Feb
46,15-Feb
47,16-Feb
48,17-Feb
49,18-Feb
50,19-Feb
51,20-Feb
52,21-Feb
53,22-Feb
54,23-Feb
55,24-Feb
56,25-Feb
57,26-Feb
58,27-Feb
59,28-Feb
60,1-Mar
61,2-Mar
62,3-Mar
63,4-Mar
64,5-Mar
65,6-Mar
66,7-Mar
67,8-Mar
68,9-Mar
69,10-Mar
70,11-Mar
71,12-Mar
72,13-Mar
73,14-Mar
74,15-Mar
75,16-Mar
76,17-Mar
77,18-Mar
78,19-Mar
79,20-Mar
80,21-Mar
81,22-Mar
82,23-Mar
83,24-Mar
84,25-Mar
85,26-Mar
86,27-Mar
87,28-Mar
88,29-Mar
89,30-Mar
90,31-Mar
91,1-Apr
92,2-Apr
93,3-Apr
94,4-Apr
95,5-Apr
96,6-Apr
97,7-Apr
98,8-Apr
99,9-Apr
100,10-Apr
101,11-Apr
102,12-Apr
103,13-Apr
104,14-Apr
105,15-Apr
106,16-Apr
107,17-Apr
108,18-Apr
109,19-Apr
110,20-Apr
111,21-Apr
112,22-Apr
113,23-Apr
114,24-Apr
115,25-Apr
116,26-Apr
117,27-Apr
118,28-Apr
119,29-Apr
120,30-Apr
121,1-May
122,2-May
123,3-May
124,4-May
125,5-May
126,6-May
127,7-May
128,8-May
129,9-May
130,10-May
131,11-May
132,12-May
133,13-May
134,14-May
135,15-May
136,16-May
137,17-May
138,18-May
139,19-May
140,20-May
141,21-May
142,22-May
143,23-May
144,24-May
145,25-May
146,26-May
147,27-May
148,28-May
149,29-May
150,30-May
151,31-May
152,1-Jun
153,2-Jun
154,3-Jun
155,4-Jun
156,5-Jun
157,6-Jun
158,7-Jun
159,8-Jun
160,9-Jun
161,10-Jun
162,11-Jun
163,12-Jun
164,13-Jun
165,14-Jun
166,15-Jun
167,16-Jun
168,17-Jun
169,18-Jun
170,19-Jun
171,20-Jun
172,21-Jun
173,22-Jun
174,23-Jun
175,24-Jun
176,25-Jun
177,26-Jun
178,27-Jun
179,28-Jun
180,29-Jun
181,30-Jun
182,1-Jul
183,2-Jul
184,3-Jul
185,4-Jul
186,5-Jul
187,6-Jul
188,7-Jul
189,8-Jul
190,9-Jul
191,10-Jul
192,11-Jul
193,12-Jul
194,13-Jul
195,14-Jul
196,15-Jul
197,16-Jul
198,17-Jul
199,18-Jul
200,19-Jul
201,20-Jul
202,21-Jul
203,22-Jul
204,23-Jul
205,24-Jul
206,25-Jul
207,26-Jul
208,27-Jul
209,28-Jul
210,29-Jul
211,30-Jul
212,31-Jul
213,1-Aug
214,2-Aug
215,3-Aug
216,4-Aug
217,5-Aug
218,6-Aug
219,7-Aug
220,8-Aug
221,9-Aug
222,10-Aug
223,11-Aug
224,12-Aug
225,13-Aug
226,14-Aug
227,15-Aug
228,16-Aug
229,17-Aug
230,18-Aug
231,19-Aug
232,20-Aug
233,21-Aug
234,22-Aug
235,23-Aug
236,24-Aug
237,25-Aug
238,26-Aug
239,27-Aug
240,28-Aug
241,29-Aug
242,30-Aug
243,31-Aug
244,1-Sep
245,2-Sep
246,3-Sep
247,4-Sep
248,5-Sep
249,6-Sep
250,7-Sep
251,8-Sep
252,9-Sep
253,10-Sep
254,11-Sep
255,12-Sep
256,13-Sep
257,14-Sep
258,15-Sep
259,16-Sep
260,17-Sep
261,18-Sep
262,19-Sep
263,20-Sep
264,21-Sep
265,22-Sep
266,23-Sep
267,24-Sep
268,25-Sep
269,26-Sep
270,27-Sep
271,28-Sep
272,29-Sep
273,30-Sep
274,1-Oct
275,2-Oct
276,3-Oct
277,4-Oct
278,5-Oct
279,6-Oct
280,7-Oct
281,8-Oct
282,9-Oct
283,10-Oct
284,11-Oct
285,12-Oct
286,13-Oct
287,14-Oct
288,15-Oct
289,16-Oct
290,17-Oct
291,18-Oct
292,19-Oct
293,20-Oct
294,21-Oct
295,22-Oct
296,23-Oct
297,24-Oct
298,25-Oct
299,26-Oct
300,27-Oct
301,28-Oct
302,29-Oct
303,30-Oct
304,31-Oct
305,1-Nov
306,2-Nov
307,3-Nov
308,4-Nov
309,5-Nov
310,6-Nov
311,7-Nov
312,8-Nov
313,9-Nov
314,10-Nov
315,11-Nov
316,12-Nov
317,13-Nov
318,14-Nov
319,15-Nov
320,16-Nov
321,17-Nov
322,18-Nov
323,19-Nov
324,20-Nov
325,21-Nov
326,22-Nov
327,23-Nov
328,24-Nov
329,25-Nov
330,26-Nov
331,27-Nov
332,28-Nov
333,29-Nov
334,30-Nov
335,1-Dec
336,2-Dec
337,3-Dec
338,4-Dec
339,5-Dec
340,6-Dec
341,7-Dec
342,8-Dec
343,9-Dec
344,10-Dec
345,11-Dec
346,12-Dec
347,13-Dec
348,14-Dec
349,15-Dec
350,16-Dec
351,17-Dec
352,18-Dec
353,19-Dec
354,20-Dec
355,21-Dec
356,22-Dec
357,23-Dec
358,24-Dec
359,25-Dec
360,26-Dec
361,27-Dec
362,28-Dec
363,29-Dec
364,30-Dec
365,31-Dec
